RowNumber,czas,L1,L10,L2,L3,L4,L5,L6,L7,L8,L9,nr_powtorzenia,numer_w_powtorzeniu,treningowa
1,"42","False","False","False","False","True","False","False","True","False","False","-1","0","True"
2,"42","True","False","False","False","False","False","False","False","False","False","-1","1","True"
3,"42","True","True","True","True","True","True","True","True","True","False","-1","767","True"
4,"42","True","True","True","False","True","False","False","False","True","False","-1","651","True"
5,"42","False","True","False","True","True","True","False","False","False","False","-1","540","True"
6,"42","True","False","True","False","False","False","False","False","False","True","-1","259","True"
7,"42","True","True","False","False","True","True","False","False","True","False","-1","665","True"
8,"42","True","True","False","False","True","True","False","True","True","False","-1","729","True"
9,"42","True","True","False","True","False","False","True","False","True","True","-1","933","True"
10,"42","False","True","False","False","False","False","False","True","True","True","-1","960","True"
11,"42","False","False","True","True","True","True","True","False","True","False","-1","190","True"
12,"42","True","True","True","False","True","False","True","True","False","False","-1","619","True"
13,"42","True","True","False","True","True","True","False","True","False","False","-1","605","True"
14,"42","True","True","True","False","True","True","False","False","False","True","-1","795","True"
15,"42","False","False","True","True","False","True","True","False","True","False","-1","182","True"
16,"42","True","False","True","False","True","True","False","True","False","True","-1","347","True"
17,"42","False","False","True","False","False","False","False","True","False","False","-1","66","True"
18,"42","True","True","True","True","False","False","False","True","True","True","-1","967","True"
19,"42","True","True","False","True","False","True","False","False","True","True","-1","917","True"
20,"42","False","True","True","False","False","False","True","True","True","True","-1","994","True"
21,"42","False","False","False","False","True","True","True","True","True","True","-1","504","True"
22,"42","True","True","False","True","False","False","False","True","False","True","-1","837","True"
23,"42","False","False","False","False","True","False","False","False","False","False","-1","8","True"
24,"42","True","False","False","False","False","True","True","True","True","True","-1","497","True"
25,"42","True","False","False","True","False","False","True","False","False","False","-1","37","True"
26,"42","False","True","True","False","False","False","False","True","True","False","-1","706","True"
27,"42","False","True","False","False","False","True","False","False","True","True","-1","912","True"
28,"42","False","True","False","False","True","False","False","False","False","True","-1","776","True"
29,"42","False","True","True","False","False","False","False","False","True","True","-1","898","True"
30,"42","False","True","True","True","True","True","False","False","False","True","-1","798","True"
31,"42","False","False","True","True","True","True","True","False","False","True","-1","318","True"
32,"42","True","True","False","False","False","True","True","True","True","False","-1","753","True"
33,"42","True","False","True","False","True","True","True","False","True","False","-1","187","True"
34,"42","False","False","False","False","True","True","True","False","True","False","-1","184","True"
35,"42","False","True","True","False","True","True","True","True","False","True","-1","890","True"
36,"42","True","True","True","False","False","False","True","True","True","True","-1","995","True"
37,"42","True","True","True","False","False","True","True","False","True","False","-1","691","True"
38,"42","True","False","False","True","False","False","True","True","True","False","-1","229","True"
39,"42","True","True","True","True","True","True","False","False","True","False","-1","671","True"
40,"42","True","False","False","False","False","True","False","True","True","True","-1","465","True"
41,"42","True","False","True","True","False","False","True","False","True","False","-1","167","True"
42,"42","False","True","False","True","True","False","False","True","False","False","-1","588","True"
43,"42","False","False","True","False","True","False","False","True","False","True","-1","330","True"
44,"42","False","True","True","False","False","True","True","True","False","True","-1","882","True"
45,"42","True","True","True","True","True","True","False","True","False","True","-1","863","True"
46,"42","False","False","True","False","False","True","False","True","True","True","-1","466","True"
47,"42","False","True","False","True","True","True","True","False","True","False","-1","700","True"
48,"42","False","True","False","False","True","False","True","True","False","False","-1","616","True"
49,"42","False","False","False","True","True","False","True","True","False","True","-1","364","True"
50,"42","True","False","False","False","True","False","True","True","False","False","-1","105","True"
51,"42","False","False","True","True","True","False","False","False","False","False","-1","14","True"
52,"42","True","False","True","True","True","False","True","True","True","True","-1","495","True"
53,"42","True","False","True","False","False","False","True","False","False","True","-1","291","True"
54,"42","True","False","False","False","True","False","False","False","False","True","-1","265","True"
55,"42","False","True","True","False","True","False","True","True","False","False","-1","618","True"
56,"42","True","False","False","True","False","False","False","True","False","False","-1","69","True"
57,"42","False","False","True","True","True","False","False","True","False","False","-1","78","True"
58,"42","True","True","True","True","True","True","False","False","False","False","-1","543","True"
59,"42","False","True","False","True","True","True","False","False","True","True","-1","924","True"
60,"42","False","True","True","True","False","True","False","True","True","True","-1","982","True"
61,"42","True","True","False","False","False","False","True","True","True","True","-1","993","True"
62,"42","True","True","False","True","False","True","True","False","True","False","-1","693","True"
63,"42","False","False","True","False","False","True","True","True","True","False","-1","242","True"
64,"42","False","False","False","False","True","True","False","False","True","True","-1","408","True"
65,"42","False","False","True","False","True","True","False","False","False","True","-1","282","True"
66,"42","True","True","False","False","True","True","True","True","False","False","-1","633","True"
67,"42","False","False","False","True","True","True","False","True","False","False","-1","92","True"
68,"42","True","False","False","False","False","True","False","False","True","True","-1","401","True"
69,"42","True","False","True","True","False","False","False","False","True","False","-1","135","True"
70,"42","False","True","True","False","True","True","False","False","False","False","-1","538","True"
71,"42","False","True","False","False","True","True","True","True","True","True","-1","1016","True"
72,"42","True","True","False","False","False","False","True","False","True","True","-1","929","True"
73,"42","True","False","True","True","True","True","False","False","False","True","-1","287","True"
74,"42","False","True","False","True","True","True","True","False","True","True","-1","956","True"
75,"42","False","False","True","False","False","True","False","True","False","True","-1","338","True"
76,"42","True","True","True","False","False","True","True","True","True","False","-1","755","True"
77,"42","False","True","True","True","False","True","False","True","False","True","-1","854","True"
78,"42","True","True","False","False","True","False","False","False","False","False","-1","521","True"
79,"0","True","False","False","True","False","True","True","True","True","True","-1","501","True"
80,"0","True","True","False","True","True","True","True","True","False","False","-1","637","True"
81,"0","False","False","False","True","True","True","True","True","False","True","-1","380","True"
82,"0","True","False","True","True","True","True","False","True","True","False","-1","223","True"
83,"0","True","False","True","True","False","True","False","False","True","True","-1","407","True"
84,"0","True","True","True","True","False","True","False","True","True","False","-1","727","True"
85,"0","True","False","True","True","True","True","False","False","True","False","-1","159","True"
86,"0","True","False","True","False","True","False","False","False","False","True","-1","267","True"
87,"0","False","False","True","True","True","True","True","True","False","True","-1","382","True"
88,"0","True","True","False","False","False","True","False","True","False","False","-1","593","True"
89,"0","True","True","False","False","True","True","True","False","True","False","-1","697","True"
90,"0","True","True","True","False","False","True","False","True","True","False","-1","723","True"
91,"0","False","True","False","True","False","True","True","False","True","False","-1","692","True"
92,"0","True","False","True","False","False","False","True","False","False","False","-1","35","True"
93,"0","False","False","True","False","False","True","False","False","True","True","-1","402","True"
94,"0","False","True","True","True","False","True","False","False","True","True","-1","918","True"
95,"0","False","True","False","True","True","False","False","False","True","False","-1","652","True"
96,"0","True","False","False","True","False","False","True","True","True","True","-1","485","True"
97,"0","True","True","True","True","False","False","False","True","True","False","-1","711","True"
98,"0","True","True","False","True","True","False","False","True","True","True","-1","973","True"
99,"0","False","True","False","False","False","False","False","False","False","False","-1","512","True"
100,"0","False","False","False","False","True","True","False","True","False","False","-1","88","True"
101,"0","False","False","True","False","True","False","True","False","True","True","-1","426","True"
102,"0","False","True","False","True","True","False","False","True","True","True","-1","972","True"
103,"0","False","True","True","True","False","False","True","False","True","True","-1","934","True"
104,"0","True","True","True","True","False","True","False","False","False","False","-1","535","True"
105,"0","True","False","False","True","False","True","True","True","False","True","-1","373","True"
106,"0","True","False","False","False","False","False","False","True","True","True","-1","449","True"
107,"0","True","False","True","False","True","False","True","False","False","False","-1","43","True"
108,"0","True","False","True","True","True","False","False","False","True","True","-1","399","True"
